module,depends_on,purpose
app.py,"webview, src/run_explorer, src/run_orchestrator, src/reporting/data_loader, src/reporting/aggregator, src/reporting/focus_filter, src/reporting/consultant_fiche, src/reporting/contractor_fiche, src/reporting/ui_adapter, src/chain_onion/query_hooks",PyWebView shell + Api class exposing methods to JS bridge
main.py,"src/pipeline/paths, src/pipeline/runner, src/run_orchestrator, src/run_memory",Pipeline entrypoint (headless); module-level mutable globals are written by orchestrator
run_chain_onion.py,"src/chain_onion/source_loader, family_grouper, chain_builder, chain_classifier, chain_metrics, onion_engine, onion_scoring, narrative_engine, exporter, validation_harness",Standalone Chain+Onion runner
src/run_orchestrator.py,"src/run_explorer, src/run_memory, src/flat_ged_runner, main (mutated)","Controlled execution layer (modes, validation, FLAT GED auto-build)"
src/pipeline/runner.py,"src/pipeline/context, src/pipeline/utils, src/pipeline/stages.*",Reads paths from main module namespace; runs 11 stages
src/pipeline/paths.py,(none),Default path constants; relative to main.py
src/pipeline/context.py,(none),PipelineState dataclass passed across stages
src/pipeline/utils.py,(none),console + logging helpers
src/pipeline/compute.py,pandas,Discrepancy + missing-diagnosis writers
src/pipeline/stages/stage_init_run.py,src/run_memory,Init DB; create runs row + run dir
src/pipeline/stages/stage_read.py,"src/read_raw, src/normalize, src/run_memory, src/domain/gf_helpers",Raw GED read path (fallback)
src/pipeline/stages/stage_read_flat.py,src/normalize,Flat GED -> docs_df / responses_df adapter
src/pipeline/stages/stage_normalize.py,"src/normalize, src/domain/sas_helpers",Normalize + SAS RAPPEL pre-2026 filter
src/pipeline/stages/stage_version.py,src/version_engine,VersionEngine
src/pipeline/stages/stage_route.py,"src/routing, src/config_loader",Routing + ExclusionConfig
src/pipeline/stages/stage_report_memory.py,"src/report_memory, src/effective_responses, src/run_memory",Report memory ingestion + composition
src/pipeline/stages/stage_write_gf.py,"src/workflow_engine, src/routing, src/domain/sas_helpers, src/writer",GF_V0_CLEAN writer
src/pipeline/stages/stage_build_team_version.py,"src/team_version_builder, src/run_memory",GF_TEAM_VERSION builder
src/pipeline/stages/stage_discrepancy.py,"src/pipeline/compute, src/reconciliation_engine, src/domain/discrepancy, src/writer",Discrepancy + Part H-1 BENTIN exception
src/pipeline/stages/stage_diagnosis.py,"src/pipeline/compute, src/writer, src/domain/family_builder, src/debug_writer",Missing diagnoses + insert log + new submittal + debug
src/pipeline/stages/stage_finalize_run.py,src/run_memory,Register artifacts; mark run current
src/flat_ged/__init__.py,flat_ged.cli,Frozen builder wrapper
src/flat_ged/cli.py,"reader, resolver, transformer, validator, writer, utils, config",Builder driver
src/flat_ged/transformer.py,"input/source_main/consultant_mapping, status_mapping",Apply mappings
src/flat_ged_runner.py,src.flat_ged,Safe wrapper; produces FLAT_GED + DEBUG_TRACE + run_report
src/normalize.py,"pandas, openpyxl",Lot/status/date normalization + approver mapping (legacy duplicate of flat_ged mapping)
src/read_raw.py,"pandas, openpyxl",Read GED raw xlsx (fallback path)
src/version_engine.py,src/normalize,Lifecycle reconstruction
src/routing.py,"src/normalize, src/config_loader",Routing decisions + sheet structure read
src/workflow_engine.py,src/normalize,Per-doc workflow state
src/effective_responses.py,"pandas, src/report_memory",Compose GED responses with persisted memory
src/reconciliation_engine.py,"pandas, src/normalize",Patch F fuzzy match
src/team_version_builder.py,openpyxl,Surgical OGF patch
src/writer.py,"pandas, openpyxl",GFWriter + various log writers
src/debug_writer.py,"pandas, openpyxl",debug/* xlsx writers
src/config_loader.py,(none),Exclusion + emetteur filter
src/domain/classification.py,(none),Domain classification helpers
src/domain/discrepancy.py,(none),Severity classification
src/domain/family_builder.py,pandas,New submittal analysis
src/domain/gf_helpers.py,(none),GF input signature etc.
src/domain/normalization.py,(none),Domain helpers
src/domain/sas_helpers.py,pandas,SAS filter + lookup
src/run_memory.py,"sqlite3, hashlib",Run + artifact registry schema and helpers
src/run_explorer.py,"sqlite3, src/run_memory",Read-only queries + bundle export
src/report_memory.py,"sqlite3, hashlib",Report memory schema and helpers
src/reporting/data_loader.py,"src/read_raw, src/normalize, src/version_engine, src/workflow_engine, src/effective_responses, src/report_memory, src/reporting/focus_ownership",Load RunContext from registered artifacts
src/reporting/aggregator.py,"src/reporting/data_loader, src/reporting/focus_filter",compute_*_summary KPIs
