S U I V I    D E S    V I S A S     - LOT 31 à 34  -   IN  - BX -  CFO - BENTIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;VSO;;Visé sans observations;;;;;REF;Visé avec observation bloquante;;;;;;;;;;;;;;;;;;;;;;;
;;VAO;;Visé avec observations;;;;;;Retard sur visa;;;;Priorité;;;;;;;;;;;;;;;;;;;
;;Annulé;;Voir visa indice supérieur;;;;;HM;Hors mission;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOCUMENT;TITRE;Date diffusion;LOT;TYPE DOC;N° Doc;IND;NIV;Type;ANCIEN;N°BDX;Date réception;non reçu papier;"DATE CONTRACTUELLE VISA SYNTHESE
( 14 jours )";"VISA
GLOBAL";APPROBATEURS;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;MOEX GEMO;;;ARCHI MOX;;;BET EGIS;;;ACOUSTICIEN AVLS;;;AMO HQE LE SOMMER;;;SOCOTEC;;;OBSERVATIONS
;;;;;;;;;;;;;;;DATE;N°;STATUT;DATE;N°;STATUT;DATE;N°;STATUT;DATE;N°;STATUT;DATE;N°;STATUT;DATE;N;STATUT;
P17_T2_IN_EXE_BEN_CFO_I031_LST_IZ_TX_045000;Liste prvisionnelle des Documents dExecution CFO INFRA;24/2/2026;I031;LST;45 000;A;TX;pdf;;;24/02/26;X;11/03/26;;;;;;;;;;;;;;;;;;;;
P17_T2_IN_EXE_BEN_CFO_I031_SYQ_IZ_TX_045100;SYNOPTIQUE HT-BT (INFRA + VdP);6/3/2026;I031;SYQ;45 100;A;TX;pdf;;;06/03/26;X;21/03/26;;;;;;;;;;;;;;;;;;;;
P17_T2_IN_EXE_BEN_CFO_I031_SYQ_IZ_TX_045101;SYNOPTIQUE CFO BT (INFRA + VdP);4/3/2026;I031;SYQ;45 101;A;TX;pdf;;;04/03/26;X;19/03/26;;;;;;;;;;;;;;;;;;;;
P17_T2_IN_EXE_BEN_CFO_I031_LTE_IZ_S1_045120;MAQUETTAGE PT PK 2000KVA YC TGS;4/3/2026;I031;LST;45 120;A;S1;pdf;;;04/03/26;X;19/03/26;VSO;;;;17/03/26;;VSO.;30/3/2026;;REF;;;;;;;;;;"MOX : VSO
sous réserve visa Egis et BCT
EGIS : REF
-         Le type de cellules HT (encadré à droite) du Poste de transformation Infra n’est pas conforme à celui de la FIP (SF6 ici contre AirSet dans la FIP),
-         La distance devant le TGBT VDP n’est pas respectée !
-         La distance devant le TGS peut être optimisée, ainsi on gagnerait de la place dans le poste transfo,
-         Après confirmation des dimensions du TGS, il peut être tourné à 90°, le local TGS peut ainsi être réduit pour laisser plus de place au local transfo,
-         Les luminaires doivent être positionnés de façon à éclairer les équipement principaux (devant les TGBT, autour du transfo, devant les TD, etc.),
-         Préciser à quoi correspond le TD appelé « VDP Hors Lot SNC »,
-         Rajouter BAPI dans le TGS,
-         Présenter le cheminement pour l’évacuation du transfo, y compris par la porte en largeur et en hauteur. Le cas échéant, exprimer les besoins pour les dimensions de la porte (le transfo peut être partiellement démonter avant l’évacuation),
-         Fournir l’accord du bureau de contrôle pour la protection du transfo de 2000kVA par un inter-fusible,
-         Pour valider la quantité et les dimensions des CDC, les notes de remplissage des CDC, selon les critères du marché, doivent nous être fournies. Notamment, il semble manquer les CDC IRVE,
-         Voir avec le MOA et la MOEX si une séparation les CDC production commune et VDP doit être prévue
-         Sous réserve de validation des NDC d’éclairement,
-         Sous réserve de validation des fiches produits correspondants,
-         Sous réserve de validation d’Enedis et du bureau de contrôle.
-         Sous réserve de confirmation des dimensions des TGBT/ TGS/ C 13-100 après fabrication,
-         Attention, la sélectivité avec la protection du poste de livraison n’est pas assurée"
P17_T2_IN_EXE_BEN_CFO_I031_LTE_IZ_R0_045121;MAQUETTAGE POSTE DE LIVRAISON ENEDIS;4/3/2026;I034;LTE;45 121;A;TX;pdf;;;04/03/26;X;19/03/26;VAO;;;;30/03/26;;VAO;30/3/2026;;VAO;;;;;;;;;;"MOX : VAO
préciser les besoins en ventilation + la necessité de trou forain
obtenir l'avis d'Egis + BCT
EGIS : VAO
-         Prendre en compte les remarques d’Enedis et faire valider le maquettage par Enedis (par ex., prévoir l’ouverture de la porte d’entrée à 170° ; coter les distances entre et devant les équipements,
-         Plan de maquettage du Poste transfo Infra ne correspond pas au dernier plan fourni, le mettre à jour (ou les rendre cohérents). En plus, la distance devant les TGBT n’est pas respectée,
-         Poste transfo Bureaux : la distance devant le TGBT n’est pas respectée,
-         Fournir l’accord du bureau de contrôle pour la protection du transfo de 2000kVA par un inter-fusible,
-         L’éclairage doit permettre de bien voir les façades des cellules et des autres équipements,
-         Quid la réglementation UE 2024/ 573 pour les cellules RM6 ?
-         Sous réserve de validation des fiches produits correspondants,
-         Sous réserve de confirmation des dimensions des TGBT/ TGS/ C 13-100 après fabrication,
-         Sous réserve de validation des NDC d’éclairement,
-         Attention, la sélectivité entre la protection du poste de livraison et les protection transfo n’est pas assurée"
P17_T2_IN_EXE_BEN_CFO_I031_NDC_IZ_TX_045200;BILAN DE PUISSANCES (INFRA + VdP);6/3/2026;I031;NDC;45 200;A;TX;pdf;;;06/03/26;X;21/03/26;;;;;;;;;;;;;;;;;;;;
P17_T2_IN_EXE_BEN_CFO_I031_NDC_IZ_TX_045210;NDC BT;4/3/2026;I031;NDC;45 210;A;TX;pdf;;;04/03/26;X;19/03/26;;;;;;;;;;;;;;;;;;;;
P17_T2_IN_EXE_BEN_CFO_I031_NDC_IZ_S1_045220;NDC E S1;6/3/2026;I031;NDC;45 220;A;S1;pdf;;;06/03/26;X;21/03/26;;;;;;;;;;;;;;;;;;;;
P17_T2_IN_EXE_BEN_CFO_I031_NDC_IZ_S2_045221;NDC E S2;6/3/2026;I031;NDC;45 221;A;S2;pdf;;;06/03/26;X;21/03/26;;;;;;;;;;;;;;;;;;;;
P17_T2_IN_EXE_BEN_CFO_I031_NDC_IZ_S3_045222;NDC E S3;6/3/2026;I031;NDC;45 222;A;S3;pdf;;;06/03/26;X;21/03/26;;;;;;;;;;;;;;;;;;;;
P17_T2_IN_EXE_BEN_CFO_I031_NDC_IZ_S4_045223;NDC E S4;6/3/2026;I031;NDC;45 223;A;S4;pdf;;;06/03/26;X;21/03/26;;;;;;;;;;;;;;;;;;;;
P17_T2_IN_EXE_BEN_CFO_I031_NDC_IZ_S5_045224;NDC E S5;6/3/2026;I031;NDC;45 224;A;S5;pdf;;;06/03/26;X;21/03/26;;;;;;;;;;;;;;;;;;;;
P17_T2_IN_EXE_BEN_CFA_I034_MAT_IZ_S1_046300;CENTRALE VIDEOPHONIE COMM;25/3/2026;I034;PLN;45 300;A;S1;pdf;;;25/03/26;X;09/04/26;;27/03/26;"SAS
REF";;;;;;;;;;;;;;;;;"SAS : REF
Incohérence entre l'indice de la GED et celui de la page de garde"
