item_id,numero,indice,family_key,subject_label,emetteur_code,emetteur_name,primary_actor,actor_to_call,action_bucket,action_label,plain_reason,recommended_action,risk_level,evidence_summary,days_open,days_late,current_state,normalized_score_100,is_internal_moex_exposure,is_external_attackable,chain_observations_summary,chain_observations_full,chain_observations_refs,consultant_reports_summary,consultant_reports_full,consultant_reports_refs,consultant_reports_available
049215__E,049215,E,049215,Axima — bilan des puissances thermiques.pdf,AXI,Axima,BET CVC,BET CVC,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de BET CVC depuis 1 jours.,Relancer BET CVC; escalader si pas de réponse sous 5 jours.,HIGH,Active chain showing moderate pressure and follow-up need. | Current blocker sits with secondary consultant review flow.,562,1,OPEN_WAITING_SECONDARY_CONSULTANT,62.44285363841128,False,True,E 0-SAS VSO-SAS; D 0-SAS VSO-SAS; D AMO HQE VAO,"[{""indice"": ""E"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}, {""indice"": ""D"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}, {""indice"": ""D"", ""reviewer"": ""AMO HQE"", ""status"": ""VAO"", ""comment"": ""Sous réserve de validation du BE CVC""}, {""indice"": ""D"", ""reviewer"": ""BET CVC"", ""status"": ""VAO"", ""comment"": ""Systèmes hydrauliquesIndiquer les débits à jour pour chaque départ et s’assurer du bon dimensionnement des collecteurs sur le schéma.Tableau détermination puissance batteries CTAPour certaines CTA, débits soufflage et reprise non conformes à la fiche technique CTA (Ex. CTA 04, CTA 06).Débits majorés et d’autres non majorés. Clarifier.Indiquer les régimes de température sur les batteries EG et EC.Récapitulatif des débits d’eau glacéeDiamètre tuyauterie à revoir pour 225m3/h (PEG 01 et DEG 01).Récapitulatif des débits d’eau chaudeDébit DEC 01 non en accord avec le schéma de production EC. Clarifier.Récapitulatif extracteurs confort.Débits à mettre en accord avec FT""}, {""indice"": ""C"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}, {""indice"": ""C"", ""reviewer"": ""BET CVC"", ""status"": ""VAO"", ""comment"": ""Systèmes hydrauliquesSchéma de production à mettre en accord avec ce documentTableaux bilan Hiver / ETE et aérauliqueQuid de la ventilation des VDI d’étage (0.5 vol/h) en VMC ? Prévoir soufflage CTA et non pas extraction par VMC.Tableau débit aérauliques trémies.Sous réserve de validation du bilan aéraulique par local.Tableau détermination puissance batteries CTASous réserve de validation bilan aéraulique par local.Indiquer les régimes de température sur les batteries EG et EC.Récapitulatif des débits d’eau glacéeDébits sur schéma production EG à mettre en accord avec ce document.Récapitulatif des débits d’eau chaudeDébits sur schéma production EC à mettre en accord avec ce document.Récapitulatif extracteurs confort.Sous réserve de validation du bilan aéraulique par local (sanitaires bureaux).""}, {""indice"": ""C"", ""reviewer"": ""Bureau de Contrôle"", ""status"": ""FAV"", ""comment"": """"}, {""indice"": ""C"", ""reviewer"": ""AMO HQE"", ""status"": ""VAO"", ""comment"": ""Sous réserve de validation du BE CVC""}, {""indice"": ""B"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}, {""indice"": ""B"", ""reviewer"": ""BET CVC"", ""status"": ""VAO"", ""comment"": ""Types CTALa CTA 5 est double flux (soufflage / reprise). Systèmes hydrauliquesRemarques concernant le schéma de production                    Corriger le cumul des débits Eau chaude  au niveau de DEC 01 sur schéma hydraulique.                    Rectifier le débit eau glacée avant les pompes, le débit indiqué est pour un seul groupe.                    Indiquer le débit EG cumulé pour DEG 01DEG 01 à repérer (en gras) sur le schéma hydraulique.Dans le cas de pompes doubles, repérer les pompes séparément.Dans les tableaux EG/EC, indiquer les pompes systèmes ou départs. Systèmes aérauliques Clarifier suppression du VEX 08 Définition des systèmes de traitement terminalLes rideaux d’air chaud sont à eau chaude Tableaux bilan Hiver / ETE et aérauliqueInfra structureJustifier température de soufflage 18°C l’hiver et 24° l’été pour les locaux non traités.BureauxPoste HT/BT, justifier température de soufflage 18°C l’hiver et 24° l’été au lieu de 20 /26°C.Justifier température de soufflage hiver/été (25/16°C) Hall. Revoir les effectifs bureaux suivant observations concernant le bilan aéraulique air neuf bureaux.Justifier la température de 16°C au soufflage dans les bureaux (calculs).Quid de la ventilation des VDI d’étage (0.5 vol/h) en MC ? Prévoir soufflage CTA et non pas extraction par VMC.Food-courtJustifier les températures de soufflage hiver (21°C) et été (16°C) AubergeLa température de soufflage hiver doit être la même que la température ambiante (20°C).Attique : justifier température de soufflage Hiver (19 et 24°C) / Eté (16°C).HôtelJustifier températures soufflage hiver / été (23/16°C Réception). Tableau débit aérauliques trémies.Sous réserve de validation du bilan aéraulique par local.Revoir les débits suivant observations concernant le bilan aéraulique air neuf bureaux. Tableau détermination puissance batteries CTASous réserve de validation bilan aéraulique par local.Revoir les débits suivant observations concernant le bilan aéraulique air neuf bureaux.CTA bureaux et Hall, Justifier la température de 16°C au soufflage dans les bureaux.Indiquer les régimes de température sur les batteries EG et EC.Le débit d'eau glacée dans la batterie sera calculé avec une chute de 5.5°C afin de tenir compte du réchauffement des tuyauteries de distribution (§ 2.4.4 CCTP).CTA 04 Services généraux : justifier T° de soufflage 18°C l’hiver et 24° l’été au lieu de 20 /26°CCTA 05/06, justifier T° de soufflage 25°C pour T° ambiance à 26°C.CTA 07 chambres Auberge, justifier T° de soufflage hiver 19°C pour T° ambiance à 20°C.CTA 08 / CTA 11, justifier les températures de soufflage hiver /été (calculs).CTA 13 à15 justifier les températures de soufflage hiver /été (calculs). Récapitulatif des débits d’eau glacéeProduction d’eau glacée, corriger la température retour d’eau glacée ou clarifier (voir schéma).Distribution EG principale, corriger la température retour d’eau glacée ou clarifier (voir schéma).Le débit de DEG 02 est différent de celui indiqué sur le schéma. Clarifier.Le débit de DEG 03 est différent de celui indiqué sur le schéma. Clarifier.Le débit de DEG 05 est différent de celui indiqué sur le schéma. Clarifier.Les débits de DEG 06 et 06-P sont différents de ceux indiqués sur le schéma. Clarifier. Récapitulatif des débits d’eau chaudeProduction d’eau chaude , corriger la température retour d’eau chaude ou clarifier (voir schéma).Le débit de DEC 01 est différent de celui indiqué sur le schéma. Clarifier.Le débit de DEC 02 est différent de celui indiqué sur le schéma. Clarifier.Le débit de DEC 03 est différent de celui indiqué sur le schéma. Clarifier.Le débit de DEC 05 est différent de celui indiqué sur le schéma. Clarifier. Récapitulatif extracteurs confort.Sous réserve de validation du bilan aéraulique par local (sanitaires bureaux).  Bilan aéraulique air neuf bureauxConcernant les effectifs, ne pas se limiter aux effectifs selon la notice de sécurité mais prendre en compte les effectifs issus du calcul selon hypothèses.Concernant les surfaces bureaux, confirmer que celles-ci ont été calculées en prenant en compte  la description (1) en bas du tableau Espace locaux § 2.3.2.1.Revoir les débits globaux avec les effectifs calculés.Revoir le débit foisonné des salles de réunion sachant que le débit d’air neuf pour celles-ci n’est que de 40% de l’effectif SDR. Corriger la formule (note 4 qui ne tient pas compte de ces 40%). Débit foisonné SDR = 0.04 * S * 0.85.""}, {""indice"": ""B"", ""reviewer"": ""Bureau de Contrôle"", ""status"": ""FAV"", ""comment"": """"}, {""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}]","[""E"", ""D"", ""D"", ""D"", ""C"", ""C"", ""C"", ""C"", ""B"", ""B"", ""B"", ""A""]",,[],[],False
049343__A,049343,A,049343,Axima — Analyse fonctionnelle terminaux INFRA.pdf,AXI,Axima,BET CVC,BET CVC,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de BET CVC depuis 1 jours.,Relancer BET CVC; escalader si pas de réponse sous 5 jours.,LOW,Active chain currently under controlled pressure. | Current blocker sits with secondary consultant review flow.,31,1,OPEN_WAITING_SECONDARY_CONSULTANT,5.787114471131331,False,True,A 0-SAS VSO-SAS,"[{""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}]","[""A""]",,[],[],False
049401__A,049401,A,049401,Axima — Schéma électrique terminaux INFRA.pdf,AXI,Axima,BET CVC,BET CVC,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de BET CVC depuis 1 jours.,Relancer BET CVC; escalader si pas de réponse sous 5 jours.,LOW,Active chain currently under controlled pressure. | Current blocker sits with secondary consultant review flow.,31,1,OPEN_WAITING_SECONDARY_CONSULTANT,5.787114471131331,False,True,A 0-SAS VSO-SAS,"[{""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}]","[""A""]",,[],[],False
149343__A,149343,A,149343,Axima — Analyse fonctionnelle terminaux Bureaux.pdf,AXI,Axima,BET CVC,BET CVC,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de BET CVC depuis 1 jours.,Relancer BET CVC; escalader si pas de réponse sous 5 jours.,LOW,Active chain currently under controlled pressure. | Current blocker sits with secondary consultant review flow.,31,1,OPEN_WAITING_SECONDARY_CONSULTANT,5.787114471131331,False,True,A 0-SAS VSO-SAS,"[{""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}]","[""A""]",,[],[],False
149401__A,149401,A,149401,Axima — Schéma électrique terminaux Bureaux.pdf,AXI,Axima,BET CVC,BET CVC,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de BET CVC depuis 1 jours.,Relancer BET CVC; escalader si pas de réponse sous 5 jours.,LOW,Active chain currently under controlled pressure. | Current blocker sits with secondary consultant review flow.,31,1,OPEN_WAITING_SECONDARY_CONSULTANT,5.787114471131331,False,True,A 0-SAS VSO-SAS,"[{""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}]","[""A""]",,[],[],False
249343__A,249343,A,249343,Axima — Analyse fonctionnelle terminaux Auberge.pdf,AXI,Axima,BET CVC,BET CVC,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de BET CVC depuis 1 jours.,Relancer BET CVC; escalader si pas de réponse sous 5 jours.,LOW,Active chain currently under controlled pressure. | Current blocker sits with secondary consultant review flow.,31,1,OPEN_WAITING_SECONDARY_CONSULTANT,5.787114471131331,False,True,A 0-SAS VSO-SAS,"[{""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}]","[""A""]",,[],[],False
249401__A,249401,A,249401,Axima — Schéma électrique terminaux Auberge.pdf,AXI,Axima,BET CVC,BET CVC,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de BET CVC depuis 1 jours.,Relancer BET CVC; escalader si pas de réponse sous 5 jours.,LOW,Active chain currently under controlled pressure. | Current blocker sits with secondary consultant review flow.,31,1,OPEN_WAITING_SECONDARY_CONSULTANT,5.787114471131331,False,True,A 0-SAS VSO-SAS,"[{""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}]","[""A""]",,[],[],False
349343__A,349343,A,349343,Axima — Analyse fonctionnelle terminaux Hôtel.pdf,AXI,Axima,BET CVC,BET CVC,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de BET CVC depuis 1 jours.,Relancer BET CVC; escalader si pas de réponse sous 5 jours.,LOW,Active chain currently under controlled pressure. | Current blocker sits with secondary consultant review flow.,31,1,OPEN_WAITING_SECONDARY_CONSULTANT,5.693450190673714,False,True,A 0-SAS VSO-SAS; A Bureau de Contrôle FAV,"[{""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}, {""indice"": ""A"", ""reviewer"": ""Bureau de Contrôle"", ""status"": ""FAV"", ""comment"": """"}]","[""A"", ""A""]",,[],[],False
349401__A,349401,A,349401,Axima — Schéma électrique terminaux Hôtel.pdf,AXI,Axima,BET CVC,BET CVC,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de BET CVC depuis 1 jours.,Relancer BET CVC; escalader si pas de réponse sous 5 jours.,LOW,Active chain currently under controlled pressure. | Current blocker sits with secondary consultant review flow.,31,1,OPEN_WAITING_SECONDARY_CONSULTANT,5.693450190673714,False,True,A 0-SAS VSO-SAS; A Bureau de Contrôle FAV,"[{""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}, {""indice"": ""A"", ""reviewer"": ""Bureau de Contrôle"", ""status"": ""FAV"", ""comment"": """"}]","[""A"", ""A""]",,[],[],False
045620__A,045620,A,045620,Bentin — LUMINAIRE TYPE P1.pdf,BEN,Bentin,ARCHITECTE,ARCHITECTE,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de ARCHITECTE depuis 2 jours.,Relancer ARCHITECTE; escalader si pas de réponse sous 5 jours.,LOW,Active chain currently under controlled pressure. | Current blocker sits with multiple consultant review flows.,32,2,OPEN_WAITING_MIXED_CONSULTANTS,9.04194821703352,False,True,A 0-SAS VSO-SAS; A BET Electricité VAO,"[{""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}, {""indice"": ""A"", ""reviewer"": ""BET Electricité"", ""status"": ""VAO"", ""comment"": ""-         Sous réserve de validation de la NDC d’éclairement,-         Choisir 4000K (voir aussi avec l’architecte et le MOA), -         Indiquer l’UGR (doit être inférieur à 25 normativement), -         Prévoir crochets de fixation en inox anti-vandale (indiquer que l’option est choisie),-         Sous réserve de validation du MOA, de l’architecte et d’acceptation de l’échantillon.""}]","[""A"", ""A""]",,[],[],False
